protein_group_no	protein_id	description	gene_name	mw	protein_fdr	max_score	total_score	ssm	upm	fqssm	qssm	qupm	reference_label	signal_sum_126	signal_sum_127L	signal_sum_127H	signal_sum_128L	signal_sum_128H	signal_sum_129L	signal_sum_129H	signal_sum_130L	signal_sum_130H	signal_sum_131L	rel_fc_126	rel_fc_127L	rel_fc_127H	rel_fc_128L	rel_fc_128H	rel_fc_129L	rel_fc_129H	rel_fc_130L	rel_fc_130H	rel_fc_131L	delta_conf_126	delta_conf_127L	delta_conf_127H	delta_conf_128L	delta_conf_128H	delta_conf_129L	delta_conf_129H	delta_conf_130L	delta_conf_130H	delta_conf_131L
1	P30613	Pyruvate kinase PKLR OS=Homo sapiens GN=PKLR PE=1 SV=2	PKLR	66773.9	0.0	117	1622	88	21	32	52	17	131L	1.34283e+09	1.53626e+09	1.27463e+09	1.13933e+09	1.11223e+09	1.16913e+09	7.52013e+08	1.23533e+09	9.78661e+08	9.26187e+08	1.44376	1.64708	1.37119	1.22776	1.19985	1.26227	0.813251	1.33376	1.05782	1.0	0.26037	0.371511	0.248016	0.148215	0.115298	0.136838	0.064327	0.179073	0.0884396	0.0
2	P23919	Thymidylate kinase OS=Homo sapiens GN=DTYMK PE=1 SV=4	DTYMK	27642.1	0.0	75	599	24	11	5	13	8	131L	4.61277e+08	5.0745e+08	3.80734e+08	3.49408e+08	3.67041e+08	3.8374e+08	2.49452e+08	3.98608e+08	3.09101e+08	2.72095e+08	1.69997	1.86556	1.39599	1.28556	1.3479	1.4173	0.915872	1.46516	1.13496	1.0	0.454612	0.476291	0.251585	0.232206	0.192839	0.357488	0.0811027	0.228294	0.0903864	0.0
3	Q07960	Rho GTPase-activating protein 1 OS=Homo sapiens GN=ARHGAP1 PE=1 SV=1	ARHGAP1	57336.1	0.0	62	200	5	5	0	5	5	131L	5.75868e+07	5.43182e+07	5.67548e+07	4.65871e+07	3.59573e+07	4.06065e+07	3.44989e+07	7.58785e+07	4.75716e+07	5.05686e+07	1.14255	1.07415	1.12082	0.921415	0.71106	0.802999	0.681458	1.50051	0.940735	1.0	0.448137	0.748939	0.38116	0.401578	0.129206	0.133975	0.0608318	0.450757	0.0592158	0.0
4	Q9NXR7	BRCA1-A complex subunit BRE OS=Homo sapiens GN=BRE PE=1 SV=2	BRE	48334.1	0.0	65	273	10	6	2	8	5	131L	4.25984e+08	4.98095e+08	3.77445e+08	3.50017e+08	3.19608e+08	3.44899e+08	2.16409e+08	3.92038e+08	2.76258e+08	2.47706e+08	1.71619	2.00844	1.5165	1.40825	1.28814	1.38825	0.873972	1.58082	1.11446	1.0	0.336339	0.474002	0.352283	0.306686	0.152642	0.237231	0.091727	0.246221	0.0606716	0.0
5	P40429	60S ribosomal protein L13a OS=Homo sapiens GN=RPL13A PE=1 SV=2	RPL13A	30036.0	0.0	72	370	13	9	4	9	9	131L	5.8908e+07	9.68605e+07	2.60159e+08	2.69785e+08	1.01382e+08	9.37525e+07	2.79113e+08	3.69772e+08	3.683e+08	2.56211e+08	0.226722	0.375417	1.01621	1.05184	0.394098	0.36521	1.08728	1.44252	1.43675	1.0	0.163347	0.154584	0.0805296	0.123155	0.11802	0.109222	0.142132	0.153783	0.145924	0.0
6	P05386	60S acidic ribosomal protein P1 OS=Homo sapiens GN=RPLP1 PE=1 SV=1	RPLP1	13224.9	0.0	68	68	1	1	0	1	1	131L	3.34601e+07	4.23466e+07	6.68247e+07	7.75194e+07	3.68882e+07	4.14097e+07	6.31553e+07	8.23591e+07	8.42097e+07	7.74397e+07	0.43208	0.546833	0.862926	1.00103	0.476347	0.534734	0.815541	1.06353	1.08742	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7	P05387	60S acidic ribosomal protein P2 OS=Homo sapiens GN=RPLP2 PE=1 SV=1	RPLP2	13949.5	0.0	109	142	5	2	0	5	2	131L	1.41137e+08	1.53134e+08	2.0006e+08	1.74407e+08	1.38864e+08	1.38986e+08	1.37806e+08	2.08144e+08	1.78751e+08	1.72529e+08	0.818051	0.887585	1.16519	1.0165	0.804877	0.80558	0.798744	1.20643	1.03701	1.0	0.244825	0.404212	0.438958	0.349293	0.0968522	0.136834	0.127409	0.436215	0.0812551	0.0
8	F8VWS0|F8VZS0|P05388	60S acidic ribosomal protein P0 OS=Homo sapiens GN=RPLP0 PE=1 SV=1|60S acidic ribosomal protein P0 (Fragment) OS=Homo sapiens GN=RPLP0 PE=1 SV=1|60S acidic ribosomal protein P0 OS=Homo sapiens GN=RPLP0 PE=1 SV=1	RPLP0	34503.6|30413.6|38777.0	0.0	56	230	10	5	3	7	4	131L	7.75912e+07	1.17626e+08	1.93748e+08	2.02241e+08	9.84103e+07	1.02994e+08	1.89434e+08	2.31626e+08	2.27742e+08	1.93514e+08	0.403766	0.610246	1.0023	1.04962	0.50954	0.532227	0.97769	1.2012	1.17625	1.0	0.188362	0.420094	0.505592	0.375976	0.12854	0.123999	0.189965	0.484249	0.159477	0.0
9	P02766	Transthyretin OS=Homo sapiens GN=TTR PE=1 SV=1	TTR	17824.4	0.00146585	36	36	2	1	0	2	1	131L	7.57382e+07	6.55092e+07	4.03032e+07	5.40555e+07	5.75275e+07	4.82207e+07	3.5479e+07	4.11436e+07	4.35517e+07	4.02388e+07	1.88222	1.62801	1.0016	1.34337	1.42965	1.19836	0.881711	1.02249	1.08233	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
10	P39023	60S ribosomal protein L3 OS=Homo sapiens GN=RPL3 PE=1 SV=2	RPL3	59198.0	0.0	69	521	23	12	3	20	12	131L	1.21758e+08	1.79134e+08	4.49152e+08	4.72577e+08	1.81875e+08	1.92108e+08	4.77356e+08	5.68981e+08	6.31407e+08	4.72198e+08	0.25665	0.37956	0.948951	0.997898	0.383978	0.405345	1.01004	1.20218	1.33511	1.0	0.170446	0.12036	0.180242	0.152648	0.117516	0.156028	0.0961838	0.218822	0.107997	0.0
