protein_group_no	protein_id	description	gene_name	mw	protein_fdr	max_score	total_score	ssm	upm	fqssm	qssm	qupm	reference_label	signal_sum_126	signal_sum_127L	signal_sum_127H	signal_sum_128L	signal_sum_128H	signal_sum_129L	signal_sum_129H	signal_sum_130L	signal_sum_130H	signal_sum_131L	rel_fc_126	rel_fc_127L	rel_fc_127H	rel_fc_128L	rel_fc_128H	rel_fc_129L	rel_fc_129H	rel_fc_130L	rel_fc_130H	rel_fc_131L	delta_conf_126	delta_conf_127L	delta_conf_127H	delta_conf_128L	delta_conf_128H	delta_conf_129L	delta_conf_129H	delta_conf_130L	delta_conf_130H	delta_conf_131L
1	P30613	Pyruvate kinase PKLR OS=Homo sapiens GN=PKLR PE=1 SV=2	PKLR	66773.9	0.0	96	959	68	15	22	45	14	131L	2.13854e+06	1.45547e+07	1.26966e+08	1.36853e+08	1.49197e+08	1.7474e+08	1.89975e+08	1.71199e+08	2.0553e+08	1.98312e+08	0.0103099	0.0721626	0.612799	0.687643	0.753302	0.879119	0.958185	0.863078	1.02693	1.0	0.0194537	0.0654544	0.912027	0.573577	0.307396	0.162567	0.144826	0.125941	0.45901	0.0
2	P23919	Thymidylate kinase OS=Homo sapiens GN=DTYMK PE=1 SV=4	DTYMK	27642.1	0.0	67	173	6	4	0	4	3	131L	2.76222e+06	7.24731e+06	8.26887e+06	1.94205e+07	3.98458e+07	4.7155e+07	5.50124e+07	4.88672e+07	5.66879e+07	5.88957e+07	0.0469001	0.123053	0.140399	0.329743	0.676548	0.800653	0.934064	0.829723	0.962513	1.0	0.0742654	0.298153	0.23248	0.198671	0.204772	0.369979	0.313625	0.205651	0.185209	0.0
3	Q9NXR1	Nuclear distribution protein nudE homolog 1 OS=Homo sapiens GN=NDE1 PE=1 SV=2	NDE1	43424.8	0.00860421	32	85	6	2	4	2	2	131L	1.0877e+06	1.48652e+06	1.65132e+06	2.97005e+06	4.2874e+06	4.45885e+06	5.34512e+06	7.08772e+06	6.31629e+06	7.08624e+06	0.153495	0.209776	0.233033	0.419129	0.605031	0.629226	0.754296	1.00021	0.891346	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4	Q07960	Rho GTPase-activating protein 1 OS=Homo sapiens GN=ARHGAP1 PE=1 SV=1	ARHGAP1	57336.1	0.0	62	306	19	8	2	17	8	131L	1.15346e+06	6.6185e+06	1.65868e+07	1.43547e+07	3.51798e+07	1.31966e+08	1.73816e+08	1.63461e+08	1.69929e+08	1.89766e+08	0.00603609	0.0344917	0.0843785	0.0744736	0.187883	0.694726	0.918622	0.865619	0.8974	1.0	0.0151838	0.0928351	0.214426	0.127956	0.256186	0.0767991	0.219219	0.207995	0.116233	0.0
5	A0A075B7D2|C9J2G0|F8W733|Q9NXR7	BRCA1-A complex subunit BRE (Fragment) OS=Homo sapiens GN=BRE PE=4 SV=1|BRCA1-A complex subunit BRE (Fragment) OS=Homo sapiens GN=BRE PE=1 SV=1|BRCA1-A complex subunit BRE (Fragment) OS=Homo sapiens GN=BRE PE=1 SV=1|BRCA1-A complex subunit BRE OS=Homo sapiens GN=BRE PE=1 SV=2	BRE	21727.3|18758.5|34700.0|48334.1	0.0	60	102	2	2	0	2	2	131L	1.68682e+06	9.50922e+06	1.89447e+07	1.92838e+07	2.15654e+07	2.25706e+07	2.26914e+07	2.22254e+07	2.68022e+07	2.71281e+07	0.0621796	0.35053	0.698343	0.710841	0.794945	0.831999	0.836453	0.819274	0.987987	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6	M0QYS1|P40429	60S ribosomal protein L13a (Fragment) OS=Homo sapiens GN=RPL13A PE=1 SV=2|60S ribosomal protein L13a OS=Homo sapiens GN=RPL13A PE=1 SV=2	RPL13A	30674.2|30036.0	0.0	49	172	5	4	0	5	4	131L	1.30742e+07	1.51098e+07	1.20135e+07	3.54909e+07	1.31408e+07	2.59487e+07	4.29964e+07	5.48854e+07	3.92073e+07	2.65711e+07	0.490286	0.564889	0.440462	1.3357	0.489494	0.976575	1.61787	2.0656	1.47556	1.0	0.556761	0.587357	0.415705	1.19243	0.210238	0.436034	0.67793	1.30906	0.878955	0.0
7	H0YA55|P02768	Serum albumin (Fragment) OS=Homo sapiens GN=ALB PE=1 SV=1|Serum albumin OS=Homo sapiens GN=ALB PE=1 SV=2	ALB	64305.4|85067.0	0.00794224	32	62	2	2	0	2	2	131L	7.14138e+06	1.09808e+07	1.1763e+07	1.30255e+07	1.5442e+07	1.84867e+07	1.91855e+07	1.78745e+07	2.00245e+07	1.86525e+07	0.382865	0.588703	0.63064	0.698324	0.827878	0.991113	1.02858	0.958291	1.07355	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8	H0YDD8|P05387	60S acidic ribosomal protein P2 (Fragment) OS=Homo sapiens GN=RPLP2 PE=1 SV=1|60S acidic ribosomal protein P2 OS=Homo sapiens GN=RPLP2 PE=1 SV=1	RPLP2	11153.9|13949.5	0.0	117	117	1	1	0	1	1	131L	7.1297e+06	9.00038e+06	3.1645e+06	2.91895e+06	2.24084e+06	3.78235e+06	4.47541e+06	5.06046e+06	6.14347e+06	7.38893e+06	0.964916	1.21809	0.428276	0.395044	0.303269	0.511894	0.605691	0.68487	0.831442	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9	B5MCW2|G5E9G0|P39023	60S ribosomal protein L3 (Fragment) OS=Homo sapiens GN=RPL3 PE=1 SV=1|60S ribosomal protein L3 OS=Homo sapiens GN=RPL3 PE=1 SV=1|60S ribosomal protein L3 OS=Homo sapiens GN=RPL3 PE=1 SV=2	RPL3	39701.6|51755.7|59198.0	0.0	59	89	2	2	1	1	1	131L	0.0	204073.0	173332.0	846977.0	561180.0	1.53682e+06	935173.0	925142.0	1.12543e+06	1.59748e+06	0.0	0.127747	0.108504	0.530197	0.351292	0.962032	0.585407	0.579128	0.704508	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
10	Q9P219	Protein Daple OS=Homo sapiens GN=CCDC88C PE=1 SV=3	CCDC88C	262460.0	0.0225841	23	23	1	1	0	1	1	131L	0.0	0.0	0.0	78215.4	111163.0	0.0	40208.4	1.7658e+06	3.18186e+06	3.16907e+06	0.0	0.0	0.0	0.0246809	0.0350775	0.0	0.0126877	0.557199	1.00404	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
