protein_group_no	protein_id	description	gene_name	mw	protein_fdr	max_score	total_score	ssm	upm	fqssm	qssm	qupm	reference_label	signal_sum_126	signal_sum_127L	signal_sum_127H	signal_sum_128L	signal_sum_128H	signal_sum_129L	signal_sum_129H	signal_sum_130L	signal_sum_130H	signal_sum_131L	rel_fc_126	rel_fc_127L	rel_fc_127H	rel_fc_128L	rel_fc_128H	rel_fc_129L	rel_fc_129H	rel_fc_130L	rel_fc_130H	rel_fc_131L	delta_conf_126	delta_conf_127L	delta_conf_127H	delta_conf_128L	delta_conf_128H	delta_conf_129L	delta_conf_129H	delta_conf_130L	delta_conf_130H	delta_conf_131L
1	O75818|X6RLL4	Ribonuclease P protein subunit p40 OS=Homo sapiens GN=RPP40 PE=1 SV=3|Ribonuclease P protein subunit p40 OS=Homo sapiens GN=RPP40 PE=4 SV=1	RPP40	47934.1|39979.8	0.0	65	104	3	2	0	3	2	131L	960509.0	4.9102e+06	7.39923e+06	1.50283e+07	2.42201e+07	1.85497e+07	2.18846e+07	2.49315e+07	2.03484e+07	1.82908e+07	0.0525132	0.268451	0.404532	0.821632	1.32416	1.01415	1.19648	1.36306	1.11249	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2	P30613	Pyruvate kinase PKLR OS=Homo sapiens GN=PKLR PE=1 SV=2	PKLR	66773.9	0.0	128	1325	56	19	14	42	19	131L	1.66779e+07	5.56265e+07	2.85902e+08	3.93e+08	4.65544e+08	5.13867e+08	5.60889e+08	6.42244e+08	6.10454e+08	5.59331e+08	0.0296227	0.0998398	0.512712	0.704594	0.834567	0.923516	1.0073	1.14989	1.08752	1.0	0.0313869	0.0704275	0.105805	0.146374	0.174458	0.173703	0.14863	0.134413	0.174921	0.0
3	P23919	Thymidylate kinase OS=Homo sapiens GN=DTYMK PE=1 SV=4	DTYMK	27642.1	0.0	67	253	18	6	4	14	6	131L	9.83424e+06	1.385e+07	1.12745e+08	2.69125e+08	3.47252e+08	4.04585e+08	4.11037e+08	4.15197e+08	4.06727e+08	3.52464e+08	0.0279974	0.0389759	0.317268	0.761939	0.986099	1.14823	1.1666	1.17975	1.15417	1.0	0.0289237	0.0521936	0.472493	0.144992	0.165062	0.134927	0.169643	0.142827	0.171344	0.0
4	E9PN48	ADP-ribosylation factor GTPase-activating protein 2 (Fragment) OS=Homo sapiens GN=ARFGAP2 PE=1 SV=1	ARFGAP2	31810.8	0.0	61	138	8	1	7	1	1	131L	191856.0	0.0	582720.0	881140.0	1.37062e+06	3.34742e+06	6.6891e+06	1.22691e+07	1.13391e+07	1.19506e+07	0.0160541	0.0	0.0487609	0.0737322	0.114691	0.280106	0.559731	1.02665	0.948835	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5	Q07960	Rho GTPase-activating protein 1 OS=Homo sapiens GN=ARHGAP1 PE=1 SV=1	ARHGAP1	57336.1	0.00031348	57	328	19	7	2	17	7	131L	1.19973e+07	1.43579e+07	2.42653e+07	2.6328e+07	7.97008e+07	3.02376e+08	4.32182e+08	4.53684e+08	4.54547e+08	4.11744e+08	0.0293458	0.0349186	0.0598004	0.0652726	0.194094	0.7328	1.0459	1.09698	1.09973	1.0	0.0671053	0.0729853	0.0881319	0.086952	0.0791095	0.133661	0.177137	0.20053	0.141959	0.0
6	M0QYS1|P40429	60S ribosomal protein L13a (Fragment) OS=Homo sapiens GN=RPL13A PE=1 SV=2|60S ribosomal protein L13a OS=Homo sapiens GN=RPL13A PE=1 SV=2	RPL13A	30674.2|30036.0	0.0	72	96	3	2	2	1	1	131L	1.21944e+06	926010.0	2.51565e+06	6.02083e+06	2.23904e+06	3.14386e+06	4.34448e+06	5.27184e+06	4.52701e+06	4.30469e+06	0.283281	0.215117	0.584398	1.39867	0.520141	0.730334	1.00924	1.22467	1.05165	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7	P05387	60S acidic ribosomal protein P2 OS=Homo sapiens GN=RPLP2 PE=1 SV=1	RPLP2	13949.5	0.0	100	302	4	4	0	4	4	131L	4.27157e+07	2.63628e+07	2.0145e+07	2.10084e+07	1.61364e+07	1.51388e+07	1.90994e+07	2.57099e+07	2.74488e+07	2.65829e+07	1.60689	0.991721	0.757818	0.790297	0.607021	0.569492	0.718482	0.967157	1.03257	1.0	1.26065	0.824296	0.937397	0.797779	0.532584	0.211042	0.203198	0.152404	0.103683	0.0
8	I3L1H5|Q9BZG8	Diphthamide biosynthesis protein 1 (Fragment) OS=Homo sapiens GN=DPH1 PE=1 SV=1|Diphthamide biosynthesis protein 1 OS=Homo sapiens GN=DPH1 PE=1 SV=2	DPH1	51173.0|52552.8	0.00101061	45	122	4	3	0	4	3	131L	982539.0	2.63699e+06	4.28605e+06	9.5503e+06	2.45187e+07	3.48429e+07	3.84884e+07	3.96851e+07	4.28582e+07	3.87242e+07	0.0253727	0.0680965	0.110681	0.246623	0.633162	0.899769	0.993911	1.02481	1.10675	1.0	0.0557107	0.146357	0.0658358	0.0771545	0.135301	0.0851789	0.159108	0.146667	0.114405	0.0
9	Q9H967	WD repeat-containing protein 76 OS=Homo sapiens GN=WDR76 PE=1 SV=2	WDR76	80320.4	0.000784929	47	47	1	1	1	0	0	131L	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
10	Q14566	DNA replication licensing factor MCM6 OS=Homo sapiens GN=MCM6 PE=1 SV=1	MCM6	103884.0	0.0	114	1030	56	21	19	36	19	131L	2.54356e+07	3.34413e+07	5.08425e+07	6.25842e+07	3.50915e+08	1.16253e+09	1.19154e+09	1.41852e+09	1.28481e+09	1.21652e+09	0.0208238	0.0276827	0.0422807	0.0518994	0.288451	0.954708	0.979492	1.16548	1.05489	1.0	0.0186781	0.0265237	0.0324565	0.0492368	0.0661831	0.16421	0.0880036	0.0950152	0.142783	0.0
